ID,Month/Year,Transaction Scope,Monthly Total
85937,2023/01,11785,4000.0
85937,2023/01,21896,3000.0
85937,2023/01,31974,500.0
85937,2023/01,41879,500.0
85937,2023/01,dividends,500.0
85937,2023/01,entertainment,200.0
85937,2023/01,fashion,430.0
85937,2023/01,fee,50.0
85937,2023/01,groceries,1390.0
85937,2023/01,health,60.0
85937,2023/01,hydro,80.0
85937,2023/01,interest,0.0
85937,2023/01,internet,100.0
85937,2023/01,phone,150.0
85937,2023/01,rent,2500.0
85937,2023/01,salary,7010.0
85937,2023/01,sport,190.0
85937,2023/01,transport,400.0
85937,2023/02,11785,4500.0
85937,2023/02,21896,3500.0
85937,2023/02,31974,500.0
85937,2023/02,41879,500.0
85937,2023/02,dividends,500.0
85937,2023/02,entertainment,250.0
85937,2023/02,fashion,820.0
85937,2023/02,fee,100.0
85937,2023/02,groceries,1450.0
85937,2023/02,health,60.0
85937,2023/02,hydro,80.0
85937,2023/02,interest,10.0
85937,2023/02,internet,100.0
85937,2023/02,phone,150.0
85937,2023/02,rent,2500.0
85937,2023/02,salary,7010.0
85937,2023/02,sport,190.0
85937,2023/02,transport,400.0
85937,2023/03,11785,4150.0
85937,2023/03,21896,3150.0
85937,2023/03,31974,500.0
85937,2023/03,41879,500.0
85937,2023/03,dividends,500.0
85937,2023/03,entertainment,185.0
85937,2023/03,fashion,500.0
85937,2023/03,fee,30.0
85937,2023/03,groceries,1545.0
85937,2023/03,health,0.0
85937,2023/03,hydro,80.0
85937,2023/03,interest,20.2
85937,2023/03,internet,100.0
85937,2023/03,phone,150.0
85937,2023/03,rent,2500.0
85937,2023/03,salary,7010.0
85937,2023/03,sport,190.0
85937,2023/03,transport,400.0
85937,2023/04,11785,3800.0
85937,2023/04,21896,2800.0
85937,2023/04,31974,500.0
85937,2023/04,41879,500.0
85937,2023/04,dividends,500.0
85937,2023/04,entertainment,175.0
85937,2023/04,fashion,425.0
85937,2023/04,fee,10.0
85937,2023/04,groceries,1250.0
85937,2023/04,health,30.0
85937,2023/04,hydro,80.0
85937,2023/04,interest,30.6
85937,2023/04,internet,100.0
85937,2023/04,phone,150.0
85937,2023/04,rent,2500.0
85937,2023/04,salary,7010.0
85937,2023/04,sport,190.0
85937,2023/04,transport,400.0
85937,2023/05,11785,5950.0
85937,2023/05,21896,3450.0
85937,2023/05,31974,1500.0
85937,2023/05,41879,1000.0
85937,2023/05,dividends,500.0
85937,2023/05,entertainment,410.0
85937,2023/05,fashion,375.0
85937,2023/05,fee,65.0
85937,2023/05,groceries,1745.0
85937,2023/05,health,0.0
85937,2023/05,hydro,80.0
85937,2023/05,interest,41.21
85937,2023/05,internet,100.0
85937,2023/05,phone,150.0
85937,2023/05,rent,2500.0
85937,2023/05,salary,7010.0
85937,2023/05,sport,190.0
85937,2023/05,transport,400.0
85937,2023/06,11785,5050.0
85937,2023/06,21896,3050.0
85937,2023/06,31974,500.0
85937,2023/06,41879,1500.0
85937,2023/06,dividends,500.0
85937,2023/06,entertainment,350.0
85937,2023/06,fashion,475.0
85937,2023/06,fee,25.0
85937,2023/06,groceries,1205.0
85937,2023/06,health,100.0
85937,2023/06,hydro,80.0
85937,2023/06,interest,72.04
85937,2023/06,internet,100.0
85937,2023/06,phone,150.0
85937,2023/06,rent,2500.0
85937,2023/06,salary,7010.0
85937,2023/06,sport,190.0
85937,2023/06,transport,400.0
85937,2023/07,11785,5650.0
85937,2023/07,21896,3650.0
85937,2023/07,31974,500.0
85937,2023/07,41879,1500.0
85937,2023/07,dividends,500.0
85937,2023/07,entertainment,375.0
85937,2023/07,fashion,835.0
85937,2023/07,fee,60.0
85937,2023/07,groceries,1520.0
85937,2023/07,health,0.0
85937,2023/07,hydro,80.0
85937,2023/07,interest,83.48
85937,2023/07,internet,100.0
85937,2023/07,phone,150.0
85937,2023/07,rent,2500.0
85937,2023/07,salary,7010.0
85937,2023/07,sport,190.0
85937,2023/07,transport,400.0
85937,2023/08,11785,5950.0
85937,2023/08,21896,2950.0
85937,2023/08,31974,1000.0
85937,2023/08,41879,2000.0
85937,2023/08,dividends,500.0
85937,2023/08,entertainment,270.0
85937,2023/08,fashion,250.0
85937,2023/08,fee,0.0
85937,2023/08,groceries,1450.0
85937,2023/08,health,60.0
85937,2023/08,hydro,80.0
85937,2023/08,interest,95.15
85937,2023/08,internet,100.0
85937,2023/08,phone,150.0
85937,2023/08,rent,2500.0
85937,2023/08,salary,7010.0
85937,2023/08,sport,190.0
85937,2023/08,transport,400.0
85937,2023/09,11785,4580.0
85937,2023/09,21896,3080.0
85937,2023/09,31974,1000.0
85937,2023/09,41879,500.0
85937,2023/09,dividends,500.0
85937,2023/09,entertainment,185.0
85937,2023/09,fashion,500.0
85937,2023/09,fee,0.0
85937,2023/09,groceries,1475.0
85937,2023/09,health,0.0
85937,2023/09,hydro,80.0
85937,2023/09,interest,117.05
85937,2023/09,internet,100.0
85937,2023/09,phone,150.0
85937,2023/09,rent,2500.0
85937,2023/09,salary,7010.0
85937,2023/09,sport,190.0
85937,2023/09,transport,400.0
85937,2023/10,11785,5500.0
85937,2023/10,21896,3500.0
85937,2023/10,31974,500.0
85937,2023/10,41879,1500.0
85937,2023/10,dividends,500.0
85937,2023/10,entertainment,425.0
85937,2023/10,fashion,425.0
85937,2023/10,fee,70.0
85937,2023/10,groceries,1230.0
85937,2023/10,health,500.0
85937,2023/10,hydro,80.0
85937,2023/10,interest,139.39
85937,2023/10,internet,100.0
85937,2023/10,phone,150.0
85937,2023/10,rent,2500.0
85937,2023/10,salary,7010.0
85937,2023/10,sport,190.0
85937,2023/10,transport,400.0
85937,2023/11,11785,4760.0
85937,2023/11,21896,2760.0
85937,2023/11,31974,1000.0
85937,2023/11,41879,1000.0
85937,2023/11,dividends,500.0
85937,2023/11,entertainment,50.0
85937,2023/11,fashion,55.0
85937,2023/11,fee,0.0
85937,2023/11,groceries,1735.0
85937,2023/11,health,0.0
85937,2023/11,hydro,80.0
85937,2023/11,interest,146.18
85937,2023/11,internet,100.0
85937,2023/11,phone,150.0
85937,2023/11,rent,2500.0
85937,2023/11,salary,7010.0
85937,2023/11,sport,190.0
85937,2023/11,transport,400.0
85937,2023/12,11785,4940.0
85937,2023/12,21896,2940.0
85937,2023/12,31974,500.0
85937,2023/12,41879,1500.0
85937,2023/12,dividends,500.0
85937,2023/12,entertainment,240.0
85937,2023/12,fashion,475.0
85937,2023/12,fee,0.0
85937,2023/12,groceries,1205.0
85937,2023/12,health,100.0
85937,2023/12,hydro,80.0
85937,2023/12,interest,175.1
85937,2023/12,internet,100.0
85937,2023/12,phone,150.0
85937,2023/12,rent,2500.0
85937,2023/12,salary,7010.0
85937,2023/12,sport,190.0
85937,2023/12,transport,400.0
85937,2024/01,11785,4940.0
85937,2024/01,21896,3440.0
85937,2024/01,31974,500.0
85937,2024/01,41879,1000.0
85937,2024/01,dividends,500.0
85937,2024/01,entertainment,375.0
85937,2024/01,fashion,625.0
85937,2024/01,fee,0.0
85937,2024/01,groceries,1520.0
85937,2024/01,health,0.0
85937,2024/01,hydro,80.0
85937,2024/01,interest,188.6
85937,2024/01,internet,100.0
85937,2024/01,phone,150.0
85937,2024/01,rent,2500.0
85937,2024/01,salary,7010.0
85937,2024/01,sport,190.0
85937,2024/01,transport,400.0
85937,2024/02,11785,500.0
85937,2024/02,21896,0.0
85937,2024/02,31974,0.0
85937,2024/02,41879,500.0
85937,2024/02,dividends,500.0
85937,2024/02,entertainment,0.0
85937,2024/02,fashion,270.0
85937,2024/02,fee,0.0
85937,2024/02,groceries,745.0
85937,2024/02,health,100.0
85937,2024/02,hydro,80.0
85937,2024/02,interest,202.38
85937,2024/02,internet,100.0
85937,2024/02,phone,150.0
85937,2024/02,rent,2500.0
85937,2024/02,salary,3505.0
85937,2024/02,sport,0.0
85937,2024/02,transport,400.0
